Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7388218594748048,0.5051546391752577,0.786096256684492,0.6150627615062761,0.8445090289080057
Gradient Boosting,0.7700496806245565,0.5550660792951542,0.6737967914438503,0.6086956521739131,0.8403329974941228
Optimized Random Forest,0.7700496806245565,0.5641025641025641,0.5882352941176471,0.5759162303664922,0.8281110336097549
Random Forest,0.7721788502484032,0.5677749360613811,0.5935828877005348,0.5803921568627451,0.8270014725257692
KNN,0.7083037615330021,0.4673721340388007,0.7085561497326203,0.563230605738576,0.7632617737477072
Decision Tree,0.7239176721078779,0.4837310195227766,0.5962566844919787,0.5341317365269461,0.6829574517554056
